tf	species	dataset
ZNF675	Homo sapiens	GSE78099.ZNF675.HEK293T
ZNF677	Homo sapiens	ENCSR279KDC.ZNF677.HEK293
ZNF680	Homo sapiens	ENCSR307CKC.ZNF680.HEK293;GSE76494.ZNF680.HEK293
ZNF681	Homo sapiens	GSE78099.ZNF681.HEK293T
ZNF684	Homo sapiens	GSE78099.ZNF684.HEK293T
ZNF687	Homo sapiens	ENCSR859FDL.ZNF687.GM12878;ENCSR899BKM.ZNF687.MCF-7
ZNF69	Homo sapiens	GSE78099.ZNF69.HEK293T
ZNF692	Homo sapiens	ENCSR418MKG.ZNF692.HEK293
ZNF695	Homo sapiens	GSE78099.ZNF695.HEK293T
ZNF697	Homo sapiens	ENCSR217QCK.ZNF697.HEK293
ZNF7	Homo sapiens	GSE78099.ZNF7.HEK293T
ZNF701	Homo sapiens	ENCSR547TGL.ZNF701.HEK293;GSE78099.ZNF701.HEK293T
ZNF704	Homo sapiens	ENCSR194KWL.ZNF704.HEK293
ZNF705G	Homo sapiens	GSE78099.ZNF705G.HEK293T
ZNF707	Homo sapiens	ENCSR854IPI.ZNF707.HEK293;GSE78099.ZNF707.HEK293T
ZNF708	Homo sapiens	GSE76494.ZNF708.HEK293;GSE78099.ZNF708.HEK293T
ZNF714	Homo sapiens	GSE78099.ZNF714.HEK293T
ZNF716	Homo sapiens	GSE78099.ZNF716.HEK293T
ZNF730	Homo sapiens	GSE78099.ZNF730.HEK293T
ZNF736	Homo sapiens	GSE78099.ZNF736.HEK293T
ZNF74	Homo sapiens	GSE78099.ZNF74.HEK293T
ZNF740	Homo sapiens	ENCSR532EMP.ZNF740.K-562;ENCSR737UST.ZNF740.K-562
ZNF747	Homo sapiens	ENCSR497IAS.ZNF747.HEK293
ZNF749	Homo sapiens	GSE78099.ZNF749.HEK293T
ZNF750	Homo sapiens	GSE57702.ZNF750.keratinocyte_diff
ZNF75A	Homo sapiens	GSE97661.ZNF75A.K-562
ZNF76	Homo sapiens	ENCSR072LQF.ZNF76.HEK293;GSE76494.ZNF76.HEK293
ZNF764	Homo sapiens	GSE78099.ZNF764.HEK293T
ZNF765	Homo sapiens	GSE78099.ZNF765.HEK293T
ZNF766	Homo sapiens	ENCSR194IJN.ZNF766.K-562;GSE78099.ZNF766.HEK293T
ZNF768	Homo sapiens	ENCSR070HWF.ZNF768.HEK293;GSE76494.ZNF768.HEK293
ZNF77	Homo sapiens	GSE78099.ZNF77.HEK293T
ZNF770	Homo sapiens	ENCSR242BGR.ZNF770.HEK293;GSE76494.ZNF770.HEK293
ZNF774	Homo sapiens	GSE76494.ZNF774.HEK293
ZNF776	Homo sapiens	ENCSR274LVQ.ZNF776.HEK293;GSE78099.ZNF776.HEK293T
ZNF777	Homo sapiens	ENCSR295BIP.ZNF777.HEK293;GSE78099.ZNF777.HEK293T
ZNF778	Homo sapiens	GSE76494.ZNF778.HEK293;GSE78099.ZNF778.HEK293T
ZNF780A	Homo sapiens	GSE78099.ZNF780A.HEK293T
ZNF781	Homo sapiens	ENCSR777YSB.ZNF781.HEK293
ZNF782	Homo sapiens	GSE78099.ZNF782.HEK293T
ZNF783	Homo sapiens	GSE78099.ZNF783.HEK293T
ZNF784	Homo sapiens	GSE76494.ZNF784.HEK293
ZNF785	Homo sapiens	ENCSR950ACO.ZNF785.HEK293;GSE78099.ZNF785.HEK293T
ZNF786	Homo sapiens	GSE78099.ZNF786.HEK293T
ZNF789	Homo sapiens	GSE78099.ZNF789.HEK293T
ZNF79	Homo sapiens	GSE78099.ZNF79.HEK293T
ZNF790	Homo sapiens	GSE78099.ZNF790.HEK293T
ZNF791	Homo sapiens	ENCSR775HFF.ZNF791.HEK293;GSE78099.ZNF791.HEK293T
ZNF792	Homo sapiens	ENCSR679STZ.ZNF792.HEK293;GSE78099.ZNF792.HEK293T
ZNF799	Homo sapiens	GSE78099.ZNF799.HEK293T
ZNF8	Homo sapiens	ENCSR785UCD.ZNF8.MCF-7;GSE76494.ZNF8.HEK293;GSE78099.ZNF8.HEK293T
ZNF805	Homo sapiens	GSE78099.ZNF805.HEK293T
ZNF808	Homo sapiens	GSE78099.ZNF808.HEK293T
ZNF81	Homo sapiens	GSE78099.ZNF81.HEK293T
ZNF816	Homo sapiens	GSE76494.ZNF816.HEK293;GSE78099.ZNF816.HEK293T
ZNF823	Homo sapiens	GSE78099.ZNF823.HEK293T
ZNF83	Homo sapiens	ENCSR257XVY.ZNF83.K-562
ZNF830	Homo sapiens	ENCSR781DPA.ZNF830.HEK293;ENCSR033NQK.ZNF830.K-562;ENCSR851XLW.ZNF830.K-562
ZNF837	Homo sapiens	ENCSR711UOA.ZNF837.HEK293
ZNF84	Homo sapiens	GSE78099.ZNF84.HEK293T
ZNF843	Homo sapiens	ENCSR502KPJ.ZNF843.HEK293
ZNF846	Homo sapiens	GSE78099.ZNF846.HEK293T
ZNF85	Homo sapiens	GSE76494.ZNF85.HEK293;GSE78099.ZNF85.HEK293T
ZNF860	Homo sapiens	GSE78099.ZNF860.HEK293T
ZNF879	Homo sapiens	GSE78099.ZNF879.HEK293T
ZNF880	Homo sapiens	GSE78099.ZNF880.HEK293T
ZNF891	Homo sapiens	GSE78099.ZNF891.HEK293T
ZNF90	Homo sapiens	GSE78099.ZNF90.HEK293T
ZNF92	Homo sapiens	GSE60024.ZNF92.retina_pigment
ZNF93	Homo sapiens	GSE78099.ZNF93.HEK293T
ZSCAN16	Homo sapiens	ENCSR864VJE.ZSCAN16.HEK293;GSE76494.ZSCAN16.HEK293
ZSCAN18	Homo sapiens	ENCSR721QZV.ZSCAN18.HEK293
ZSCAN2	Homo sapiens	GSE97661.ZSCAN2.Hep-G2;GSE97661.ZSCAN2.MCF-7
ZSCAN21	Homo sapiens	ENCSR253CKN.ZSCAN21.HEK293
ZSCAN22	Homo sapiens	GSE76494.ZSCAN22.HEK293
ZSCAN23	Homo sapiens	ENCSR705ASR.ZSCAN23.HEK293
ZSCAN26	Homo sapiens	ENCSR501NSC.ZSCAN26.HEK293
ZSCAN29	Homo sapiens	ENCSR412YGM.ZSCAN29.GM12878;ENCSR175SZH.ZSCAN29.K-562;ENCSR635EXI.ZSCAN29.K-562;GSE76494.ZSCAN29.HEK293
ZSCAN30	Homo sapiens	ENCSR768VNZ.ZSCAN30.HEK293
ZSCAN31	Homo sapiens	GSE76494.ZSCAN31.HEK293
ZSCAN4	Homo sapiens	ENCSR211GNP.ZSCAN4.HEK293
ZSCAN5A	Homo sapiens	ENCSR357QJR.ZSCAN5A.HEK293;GSE85009.ZSCAN5A.BeWo
ZSCAN5C	Homo sapiens	ENCSR731AGO.ZSCAN5C.HEK293
ZSCAN5D	Homo sapiens	GSE85009.ZSCAN5D.BeWo
ZXDB	Homo sapiens	ENCSR559IOZ.ZXDB.HEK293
ZXDC	Homo sapiens	GSE97661.ZXDC.MCF-7
ZZZ3	Homo sapiens	ENCSR000DNQ.ZZZ3.GM12878;ENCSR780BBJ.ZZZ3.K-562;ENCSR000DNT.ZZZ3.HeLa-S3
ABF1	Arabidopsis thaliana	GSE80564.ABF1.Col-0_seedling_3d-ABA;GSE80564.ABF1.Col-0_seedling_3d-EtOH
ABF3	Arabidopsis thaliana	GSE80564.ABF3.Col-0_seedling_3d-ABA;GSE80564.ABF3.Col-0_seedling_3d-EtOH
ABF4	Arabidopsis thaliana	GSE80564.ABF4.Col-0_seedling_3d-ABA;GSE80564.ABF4.Col-0_seedling_3d-EtOH
ABI5	Arabidopsis thaliana	GSE60142.ABI5.Col-0_seedling_36h-wt;GSE60142.ABI5.Col-0_seedling_36h-ypet;GSE60141.ABI5.Col-0_leaves_tnt_col
ABR1	Arabidopsis thaliana	GSE60141.ABR1.Col-0_leaves_tnt_col
AG	Arabidopsis thaliana	GSE45938.AG.Ler-0_inflorescence_4w
AGL15	Arabidopsis thaliana	GSE60141.AGL15.Col-0_leaves_tnt_col
AGL8	Arabidopsis thaliana	GSE108455.AGL8.Col-0_Inflorescence-meristem_6w;GSE108455.AGL8.Ler_gynoecium_6w;GSE79554.AGL8.Col-0xLer_gynoecium-silique-fruit_stage12-16
AGO1	Arabidopsis thaliana	GSE95301.AGO1.Col-0_seedling_10d-mutant;GSE95301.AGO1.Col-0_seedling_10d-wt;GSE95301.AGO1.Col-0_seedling_10d-wt-BTH;GSE95301.AGO1.Col-0_seedling_10d-wt_BTHcontrol;GSE95301.AGO1.Col-0_seedling_10d-wt_Cold;GSE95301.AGO1.Col-0_seedling_10d-wt_Coldcontrol;GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22;GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22control;GSE95301.AGO1.Col-0_seedling_10d-wt_IAA;GSE95301.AGO1.Col-0_seedling_10d-wt_IAAcontrol;GSE95301.AGO1.Col-0_seedling_10d-wt_MeJA;GSE95301.AGO1.Col-0_seedling_10d-wt_MeJAcontrol
AIL6	Arabidopsis thaliana	GSE60141.AIL6.Col-0_leaves_tnt_col
AIL7	Arabidopsis thaliana	GSE60141.AIL7.Col-0_leaves_tnt_col;GSE60141.AIL7.Col-0_leaves_tnt_colamp
AL5	Arabidopsis thaliana	GSE56706.AL5.Col-0_whole-plant_3w;GSE56706.AL5.Col-0_whole-plant_3w-mutant
AMS	Arabidopsis thaliana	GSE16940.AMS.Col_cells
ANAC016	Arabidopsis thaliana	GSE60141.ANAC016.Col-0_leaves_tnt_col
ANAC020	Arabidopsis thaliana	GSE60141.ANAC020.Col-0_leaves_tnt_col
ANAC028	Arabidopsis thaliana	GSE60141.ANAC028.Col-0_leaves_tnt_col
ANAC038	Arabidopsis thaliana	GSE60141.ANAC038.Col-0_leaves_tnt_col
ANAC050	Arabidopsis thaliana	GSE60141.ANAC050.Col-0_leaves_tnt_col;GSE60141.ANAC050.Col-0_leaves_tnt_colamp
ANAC057	Arabidopsis thaliana	GSE60141.ANAC057.Col-0_leaves_tnt_col;GSE60141.ANAC057.Col-0_leaves_tnt_colamp
ANAC058	Arabidopsis thaliana	GSE60141.ANAC058.Col-0_leaves_tnt_col
ANAC075	Arabidopsis thaliana	GSE60141.ANAC075.Col-0_leaves_tnt_col
ANAC076	Arabidopsis thaliana	GSE60141.ANAC076.Col-0_leaves_tnt_col
ANAC094	Arabidopsis thaliana	GSE60141.ANAC094.Col-0_leaves_tnt_col
ANAC096	Arabidopsis thaliana	GSE60141.ANAC096.Col-0_leaves_tnt_col;GSE60141.ANAC096.Col-0_leaves_tnt_colamp
ANAC102	Arabidopsis thaliana	GSE80564.ANAC102.Col-0_seedling_3d-ABA;GSE80564.ANAC102.Col-0_seedling_3d-EtOH
ANAC103	Arabidopsis thaliana	GSE60141.ANAC103.Col-0_leaves_tnt_col;GSE60141.ANAC103.Col-0_leaves_tnt_colamp
ANAC13	Arabidopsis thaliana	GSE60141.ANAC13.Col-0_leaves_tnt_col
ANL2	Arabidopsis thaliana	GSE60141.ANL2.Col-0_leaves_tnt_col
AP1	Arabidopsis thaliana	GSE46986.AP1.Ler_inflorescence_4w-2d;GSE20176.AP1.Col_apical-meristem_DEX
AP2	Arabidopsis thaliana	GSE21301.AP2.Col-0_inflorescence
AP3	Arabidopsis thaliana	GSE38358.AP3.Ler_flower_4w-dex
APRR1	Arabidopsis thaliana	GSE35952.APRR1.C24_seedling_2w
APRR5	Arabidopsis thaliana	GSE36361.APRR5.Col-0_whole-plant_18d
APRR7	Arabidopsis thaliana	GSE49282.APRR7.Col-2_seedling_2w
ARF	Arabidopsis thaliana	GSE51770.ARF.Col-0_seedling-etiolated_5d
ARID6	Arabidopsis thaliana	GSE60141.ARID6.Col-0_leaves_tnt_col
ARR1	Arabidopsis thaliana	GSE94486.ARR1.Col-0_seedling_3d-6BA-4h;GSE94486.ARR1.Col-0_seedling_3d-6BA-72h;GSE94486.ARR1.Col-0_seedling_3d-Dex-4h;GSE94486.ARR1.Col-0_seedling_3d-mock-4h-etiolated;GSE94486.ARR1.Col-0_seedling_3d-mock-4h-LD
ARR10	Arabidopsis thaliana	GSE94486.ARR10.Col-0_seedling_3d-6BA-4h;GSE94486.ARR10.Col-0_seedling_3d-mock-4h
ARR12	Arabidopsis thaliana	GSE94486.ARR12.Col-0_seedling_3d-6BA-4h;GSE94486.ARR12.Col-0_seedling_3d-mock-4h
ARR14	Arabidopsis thaliana	GSE94486.ARR14.Col-0_seedling_3d-6BA-72h
AS2	Arabidopsis thaliana	GSE60141.AS2.Col-0_leaves_tnt_col
ASIL2	Arabidopsis thaliana	GSE60141.ASIL2.Col-0_leaves_tnt_col
AT-GTL1	Arabidopsis thaliana	GSE60141.AT-GTL1.Col-0_leaves_tnt_col
AT1G14580	Arabidopsis thaliana	GSE60011.AT1G14580.Col-0_roots
AT1G19000	Arabidopsis thaliana	GSE60141.AT1G19000.Col-0_leaves_tnt_col
AT1G24250	Arabidopsis thaliana	GSE60141.AT1G24250.Col-0_leaves_tnt_col
AT1G49010	Arabidopsis thaliana	GSE60141.AT1G49010.Col-0_leaves_tnt_col
AT1G72740	Arabidopsis thaliana	GSE60141.AT1G72740.Col-0_leaves_tnt_col
AT1G74840	Arabidopsis thaliana	GSE60141.AT1G74840.Col-0_leaves_tnt_col
AT2G15740	Arabidopsis thaliana	GSE60141.AT2G15740.Col-0_leaves_tnt_col
AT2G20110	Arabidopsis thaliana	GSE60141.AT2G20110.Col-0_leaves_tnt_col;GSE60141.AT2G20110.Col-0_leaves_tnt_colamp
AT2G20400	Arabidopsis thaliana	GSE60141.AT2G20400.Col-0_leaves_tnt_col
AT2G33710	Arabidopsis thaliana	GSE60141.AT2G33710.Col-0_leaves_tnt_col
AT2G40260	Arabidopsis thaliana	GSE60141.AT2G40260.Col-0_leaves_tnt_col
AT3G10030	Arabidopsis thaliana	GSE60141.AT3G10030.Col-0_leaves_tnt_col;GSE60141.AT3G10030.Col-0_leaves_tnt_colamp
AT3G11100	Arabidopsis thaliana	GSE97288.AT3G11100.Col-0_seedling_3d-air;GSE97288.AT3G11100.Col-0_seedling_3d-C2H4
AT3G11280	Arabidopsis thaliana	GSE60141.AT3G11280.Col-0_leaves_tnt_col
AT3G42860	Arabidopsis thaliana	GSE60141.AT3G42860.Col-0_leaves_tnt_col
AT3G49930	Arabidopsis thaliana	GSE60141.AT3G49930.Col-0_leaves_tnt_col
AT4G16150	Arabidopsis thaliana	GSE60141.AT4G16150.Col-0_leaves_tnt_col
AT4G33280	Arabidopsis thaliana	GSE60141.AT4G33280.Col-0_leaves_tnt_col
AT5G04390	Arabidopsis thaliana	GSE60141.AT5G04390.Col-0_leaves_tnt_col
AT5G04760	Arabidopsis thaliana	GSE80564.AT5G04760.Col-0_seedling_3d-ABA;GSE80564.AT5G04760.Col-0_seedling_3d-EtOH
AT5G05550	Arabidopsis thaliana	GSE60141.AT5G05550.Col-0_leaves_tnt_col;GSE60141.AT5G05550.Col-0_leaves_tnt_colamp
AT5G08750	Arabidopsis thaliana	GSE60141.AT5G08750.Col-0_leaves_tnt_col
AT5G23930	Arabidopsis thaliana	GSE60141.AT5G23930.Col-0_leaves_tnt_col
AT5G47660	Arabidopsis thaliana	GSE60141.AT5G47660.Col-0_leaves_tnt_colamp
AT5G50360	Arabidopsis thaliana	GSE80566.AT5G50360.Col-0_seedling_4d-DEX-6h
AT5G56840	Arabidopsis thaliana	GSE60141.AT5G56840.Col-0_leaves_tnt_col
AT5G58900	Arabidopsis thaliana	GSE60141.AT5G58900.Col-0_leaves_tnt_colamp
AT5G60130	Arabidopsis thaliana	GSE60141.AT5G60130.Col-0_leaves_tnt_colamp
AT5G61620	Arabidopsis thaliana	GSE60141.AT5G61620.Col-0_leaves_tnt_col
ATBZIP42	Arabidopsis thaliana	GSE60141.ATBZIP42.Col-0_leaves_tnt_colamp
ATHB-15	Arabidopsis thaliana	GSE60141.ATHB-15.Col-0_leaves_tnt_col
ATHB-23	Arabidopsis thaliana	GSE60141.ATHB-23.Col-0_leaves_tnt_col
ATHB-5	Arabidopsis thaliana	GSE80564.ATHB-5.Col-0_seedling_3d-ABA;GSE80564.ATHB-5.Col-0_seedling_3d-EtOH;GSE60141.ATHB-5.Col-0_leaves_tnt_col
ATHB-51	Arabidopsis thaliana	GSE60141.ATHB-51.Col-0_leaves_tnt_col
ATHB-53	Arabidopsis thaliana	GSE60141.ATHB-53.Col-0_leaves_tnt_col
ATHB-6	Arabidopsis thaliana	GSE80564.ATHB-6.Col-0_seedling_3d-ABA;GSE80564.ATHB-6.Col-0_seedling_3d-EtOH
ATHB-7	Arabidopsis thaliana	GSE80564.ATHB-7.Col-0_seedling_3d-ABA;GSE80564.ATHB-7.Col-0_seedling_3d-EtOH
ATHB-9	Arabidopsis thaliana	GSE60141.ATHB-9.Col-0_leaves_tnt_col
ATHB-X	Arabidopsis thaliana	GSE60141.ATHB-X.Col-0_leaves_tnt_col
ATMYB119	Arabidopsis thaliana	GSE60141.ATMYB119.Col-0_leaves_tnt_col;GSE60141.ATMYB119.Col-0_leaves_tnt_colamp
ATMYB13	Arabidopsis thaliana	GSE60141.ATMYB13.Col-0_leaves_tnt_col
ATMYB63	Arabidopsis thaliana	GSE60141.ATMYB63.Col-0_leaves_tnt_col
AZF1	Arabidopsis thaliana	GSE84483.AZF1.Col_whole-plant_30h
AtGRF6	Arabidopsis thaliana	GSE60141.AtGRF6.Col-0_leaves_tnt_col
AtMYB70	Arabidopsis thaliana	GSE60141.AtMYB70.Col-0_leaves_tnt_col
AtMYB81	Arabidopsis thaliana	GSE60141.AtMYB81.Col-0_leaves_tnt_col
AtMYB93	Arabidopsis thaliana	GSE60141.AtMYB93.Col-0_leaves_tnt_col
AtbZIP3	Arabidopsis thaliana	GSE60141.AtbZIP3.Col-0_leaves_tnt_col
AtbZIP48	Arabidopsis thaliana	GSE60141.AtbZIP48.Col-0_leaves_tnt_col;GSE60141.AtbZIP48.Col-0_leaves_tnt_colamp
AtbZIP52	Arabidopsis thaliana	GSE60141.AtbZIP52.Col-0_leaves_tnt_colamp
BBM	Arabidopsis thaliana	GSE52400.BBM.Col-0_somatic-embryo;GSE52400.BBM.Col-0_whole-embryogenic-seedling
BEH2	Arabidopsis thaliana	GSE60141.BEH2.Col-0_leaves_tnt_col
BEH3	Arabidopsis thaliana	GSE60141.BEH3.Col-0_leaves_tnt_col
BEH4	Arabidopsis thaliana	GSE60141.BEH4.Col-0_leaves_tnt_col
BHLH10	Arabidopsis thaliana	GSE60141.BHLH10.Col-0_leaves_tnt_col
BHLH104	Arabidopsis thaliana	GSE60141.BHLH104.Col-0_leaves_tnt_col
BHLH122	Arabidopsis thaliana	GSE80564.BHLH122.Col-0_seedling_3d-ABA;GSE80564.BHLH122.Col-0_seedling_3d-EtOH;GSE60141.BHLH122.Col-0_leaves_tnt_col
BHLH28	Arabidopsis thaliana	GSE60141.BHLH28.Col-0_leaves_tnt_col
BHLH74	Arabidopsis thaliana	GSE60141.BHLH74.Col-0_leaves_tnt_col
BIM1	Arabidopsis thaliana	GSE60141.BIM1.Col-0_leaves_tnt_col;GSE60141.BIM1.Col-0_leaves_tnt_colamp
BIM2	Arabidopsis thaliana	GSE60141.BIM2.Col-0_leaves_tnt_col
BMY2	Arabidopsis thaliana	GSE60141.BMY2.Col-0_leaves_tnt_col
BPC1	Arabidopsis thaliana	GSE60141.BPC1.Col-0_leaves_tnt_col;GSE84483.BPC1.Col_whole-plant_30h
BPE	Arabidopsis thaliana	GSE60141.BPE.Col-0_leaves_tnt_col
BZIP28	Arabidopsis thaliana	GSE60141.BZIP28.Col-0_leaves_tnt_col
BZIP68	Arabidopsis thaliana	GSE60141.BZIP68.Col-0_leaves_tnt_col
BZR1	Arabidopsis thaliana	GSE60141.BZR1.Col-0_leaves_tnt_col
CCA1	Arabidopsis thaliana	GSE67903.CCA1.Col-0_seedling_14d;GSE70533.CCA1.Ws-2_seedling_14d-LD;GSE70533.CCA1.Ws-2_seedling_14d-LL;GSE70533.CCA1.Ws-2_seedling_14d-LL-ZT14
CDF3	Arabidopsis thaliana	GSE60141.CDF3.Col-0_leaves_tnt_col
CDF5	Arabidopsis thaliana	GSE60141.CDF5.Col-0_leaves_tnt_col
CHR27	Arabidopsis thaliana	GSE79453.CHR27.Col-0_seedling_6d-ACC;GSE79453.CHR27.Col-0_seedling_6d-NHS
CLF	Arabidopsis thaliana	GSE108960.CLF.Col-0_seedling_10d
CRF4	Arabidopsis thaliana	GSE60141.CRF4.Col-0_leaves_tnt_colamp
CRY2	Arabidopsis thaliana	GSE68193.CRY2.Col-0_seedling_5d
DET1	Arabidopsis thaliana	GSE112951.DET1.Col-0_seedling_5d-D;GSE112951.DET1.Col-0_seedling_5d-L;GSE112951.DET1.Col-0_seedling_det1_5d-D;GSE112951.DET1.Col-0_seedling_det1_5d-L
DOF2-2	Arabidopsis thaliana	GSE60141.DOF2-2.Col-0_leaves_tnt_col
DOF2-4	Arabidopsis thaliana	GSE60141.DOF2-4.Col-0_leaves_tnt_col
DOF4-7	Arabidopsis thaliana	GSE60141.DOF4-7.Col-0_leaves_tnt_col
DPBF3	Arabidopsis thaliana	GSE60141.DPBF3.Col-0_leaves_tnt_col
DREB1A	Arabidopsis thaliana	GSE60141.DREB1A.Col-0_leaves_tnt_col
DREB1B	Arabidopsis thaliana	GSE60141.DREB1B.Col-0_leaves_tnt_col
DREB1C	Arabidopsis thaliana	GSE60141.DREB1C.Col-0_leaves_tnt_col;GSE60141.DREB1C.Col-0_leaves_tnt_colamp
DREB1E	Arabidopsis thaliana	GSE60141.DREB1E.Col-0_leaves_tnt_col
DREB1F	Arabidopsis thaliana	GSE60141.DREB1F.Col-0_leaves_tnt_col
DREB2A	Arabidopsis thaliana	GSE80564.DREB2A.Col-0_seedling_3d-ABA;GSE80564.DREB2A.Col-0_seedling_3d-EtOH
DREB2D	Arabidopsis thaliana	GSE60141.DREB2D.Col-0_leaves_tnt_col
DREB2E	Arabidopsis thaliana	GSE60141.DREB2E.Col-0_leaves_tnt_col
E2F3	Arabidopsis thaliana	GSE60141.E2F3.Col-0_leaves_tnt_col
E2FD	Arabidopsis thaliana	GSE60141.E2FD.Col-0_leaves_tnt_col
EBS	Arabidopsis thaliana	GSE104368.EBS.Col-0_seedling_10d
EFM	Arabidopsis thaliana	GSE60141.EFM.Col-0_leaves_tnt_col
EICBP-B	Arabidopsis thaliana	GSE60141.EICBP-B.Col-0_leaves_tnt_col
EMB1789	Arabidopsis thaliana	GSE60141.EMB1789.Col-0_leaves_tnt_col
ENY	Arabidopsis thaliana	GSE60141.ENY.Col-0_leaves_tnt_col
ERF003	Arabidopsis thaliana	GSE60141.ERF003.Col-0_leaves_tnt_col
ERF010	Arabidopsis thaliana	GSE60141.ERF010.Col-0_leaves_tnt_col
ERF011	Arabidopsis thaliana	GSE60141.ERF011.Col-0_leaves_tnt_col
ERF012	Arabidopsis thaliana	GSE60141.ERF012.Col-0_leaves_tnt_col
ERF014	Arabidopsis thaliana	GSE60141.ERF014.Col-0_leaves_tnt_col
ERF015	Arabidopsis thaliana	GSE60141.ERF015.Col-0_leaves_tnt_col
ERF017	Arabidopsis thaliana	GSE60141.ERF017.Col-0_leaves_tnt_col
ERF019	Arabidopsis thaliana	GSE60141.ERF019.Col-0_leaves_tnt_col
ERF021	Arabidopsis thaliana	GSE60141.ERF021.Col-0_leaves_tnt_col
ERF023	Arabidopsis thaliana	GSE60141.ERF023.Col-0_leaves_tnt_col
ERF027	Arabidopsis thaliana	GSE60141.ERF027.Col-0_leaves_tnt_col;GSE60141.ERF027.Col-0_leaves_tnt_colamp
ERF035	Arabidopsis thaliana	GSE60141.ERF035.Col-0_leaves_tnt_colamp
ERF037	Arabidopsis thaliana	GSE60141.ERF037.Col-0_leaves_tnt_col
ERF038	Arabidopsis thaliana	GSE60141.ERF038.Col-0_leaves_tnt_col
ERF039	Arabidopsis thaliana	GSE60141.ERF039.Col-0_leaves_tnt_col
ERF043	Arabidopsis thaliana	GSE60141.ERF043.Col-0_leaves_tnt_col;GSE60141.ERF043.Col-0_leaves_tnt_colamp
ERF086	Arabidopsis thaliana	GSE60141.ERF086.Col-0_leaves_tnt_col;GSE60141.ERF086.Col-0_leaves_tnt_colamp
ERF087	Arabidopsis thaliana	GSE60141.ERF087.Col-0_leaves_tnt_col;GSE60141.ERF087.Col-0_leaves_tnt_colamp
ERF091	Arabidopsis thaliana	GSE60141.ERF091.Col-0_leaves_tnt_col
ERF095	Arabidopsis thaliana	GSE60141.ERF095.Col-0_leaves_tnt_col
ERF109	Arabidopsis thaliana	GSE60141.ERF109.Col-0_leaves_tnt_col
ERF11	Arabidopsis thaliana	GSE60141.ERF11.Col-0_leaves_tnt_col
ERF115	Arabidopsis thaliana	GSE60141.ERF115.Col-0_leaves_tnt_col;GSE48793.ERF115.Ler_cell_suspension_2d
ERF118	Arabidopsis thaliana	GSE60141.ERF118.Col-0_leaves_tnt_col
ERF15	Arabidopsis thaliana	GSE60141.ERF15.Col-0_leaves_tnt_col;GSE60141.ERF15.Col-0_leaves_tnt_colamp
ERF2	Arabidopsis thaliana	GSE60141.ERF2.Col-0_leaves_tnt_col
ERF3	Arabidopsis thaliana	GSE60141.ERF3.Col-0_leaves_tnt_col
ERF4	Arabidopsis thaliana	GSE60141.ERF4.Col-0_leaves_tnt_col
ERF5	Arabidopsis thaliana	GSE60141.ERF5.Col-0_leaves_tnt_col
ERF8	Arabidopsis thaliana	GSE60141.ERF8.Col-0_leaves_tnt_col
EZA1	Arabidopsis thaliana	GSE108960.EZA1.Col-0_seedling_10d
FAR1	Arabidopsis thaliana	GSE60141.FAR1.Col-0_leaves_tnt_col
FHY3	Arabidopsis thaliana	GSE30711.FHY3.No-0_seedling_4d-dark;GSE30711.FHY3.No-0_seedling_4d-far-red;GSE69422.FHY3.Ler-0_inflorescence_stage8-flower
FIE	Arabidopsis thaliana	GSE95562.FIE.Ws_whole-plant_30h-wt;GSE84483.FIE.Col_whole-plant_30h
FLC	Arabidopsis thaliana	GSE89889.FLC.Col-FRI_aerial-part_2w
FUS3	Arabidopsis thaliana	GSE60141.FUS3.Col-0_leaves_tnt_col
GATA20	Arabidopsis thaliana	GSE60141.GATA20.Col-0_leaves_tnt_colamp
GATA21	Arabidopsis thaliana	GSE97499.GATA21.Col-0_whole-rosette-leaves_3w
GATA22	Arabidopsis thaliana	GSE97499.GATA22.Col-0_whole-rosette-leaves_3w
GATA4	Arabidopsis thaliana	GSE60141.GATA4.Col-0_leaves_tnt_col
GBF2	Arabidopsis thaliana	GSE80564.GBF2.Col-0_seedling_3d-ABA;GSE80564.GBF2.Col-0_seedling_3d-EtOH
GBF3	Arabidopsis thaliana	GSE80564.GBF3.Col-0_seedling_3d-ABA;GSE80564.GBF3.Col-0_seedling_3d-EtOH;GSE60141.GBF3.Col-0_leaves_tnt_col;GSE60141.GBF3.Col-0_leaves_tnt_colamp
GT-1	Arabidopsis thaliana	GSE60141.GT-1.Col-0_leaves_tnt_col
GT-2	Arabidopsis thaliana	GSE60141.GT-2.Col-0_leaves_tnt_col;GSE60141.GT-2.Col-0_leaves_tnt_colamp
GT-3A	Arabidopsis thaliana	GSE60141.GT-3A.Col-0_leaves_tnt_col
GT-4	Arabidopsis thaliana	GSE60141.GT-4.Col-0_leaves_tnt_colamp
H1	Arabidopsis thaliana	GSE96834.H1.Col-0_seedling_10d-H3-KD
H2A	Arabidopsis thaliana	GSE50942.H2A.Col-0_leaves_3w
H2A-X	Arabidopsis thaliana	GSE50942.H2A-X.Col-0_leaves_3w
